phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
диван узкий нераскладной;Диваны;общий;;33;23;;;23;/catalog/myagkaya-mebel/divanyi/f/po_nalichiyu_transformatsii--ne_raskladnoy;arsenkin_sem+keysso
купить мягкую кожаную мебель;Диваны кожаные;коммерческий;;291;23;;;4;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
кресло bergamo;Кресла;общий;;327;23;;;44;/catalog/myagkaya-mebel/kresla/kreslo-bergamo;arsenkin_sem+keysso
диван раскладной прованс;Диваны;общий;;132;23;;;18;/catalog/myagkaya-mebel/divanyi/f/stil--provans;arsenkin_sem+keysso
кожаная мебель для гостиной фото цены мягкая;Диваны кожаные;коммерческий;;23;23;;;1;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
купить диван с независимыми пружинами;Диваны;коммерческий;;478;23;;;22;/catalog/myagkaya-mebel/divanyi/f/napolnenie--nezavisimyi_prujinnyi_blok;arsenkin_sem+keysso
напольная полка для цветов из дерева;Мебель из массива;общий;;250;23;;;20;/catalog/korpusnaya-mebel/dekorativnyie-elementyi/f/type--podstavka-dekorativnaya;arsenkin_sem+keysso
шкаф пятидверный;Шкафы;общий;;544;23;;;37;/catalog/korpusnaya-mebel/shkafyi/f/kolichestvo_dverey--5ti_dvernyiy;arsenkin_sem+keysso
деревянные стулья из массива;Столы и стулья;общий;;466;23;;;29;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
брилан мебель официальный сайт;Мебель общ.;коммерческий;;26;23;;;41;/;arsenkin_sem+keysso
мебель на г;Мебель общ.;общий;;4104;23;;24;31;/;arsenkin_sem+keysso
стол овальный из массива дерева;Столы и стулья;общий;;166;23;;;29;/catalog/korpusnaya-mebel/stolyi/f/forma--ovalnaya;arsenkin_sem+keysso
красивые стулья из дерева;Столы и стулья;общий;;129;23;;;32;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
дубовый массив;Мебель из массива;общий;;1196;23;;;45;/catalog/korpusnaya-mebel/f/materializgotovleniya--massivduba;arsenkin_sem+keysso
дубовая кухня;Кухни;общий;;1436;23;;25;2;/catalog/kuhni/kuhni-pod-zakaz/f/material--massiv_duba;arsenkin_sem+keysso
матрас триумф;Матрасы;общий;;135;23;;;13;/catalog/matrasyi/matrasyi-triumf/200h180sm;arsenkin_sem+keysso
спальня в стиле лофт в квартире;Спальни;общий;;62;23;;;16;/blog/dizayn-spalni-v-stile-loft;arsenkin_sem+keysso
