phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
книжные шкафы из массива дерева из белоруссии;Шкафы;общий;;58;11;62;;5;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-dlya-knig;arsenkin_sem+expand+keysso
анатомическое кресло кровать;Кресла-кровати;общий;;62;11;58;;29;/catalog/myagkaya-mebel/kresla/f/type--kreslo-krovat;arsenkin_sem+expand+keysso
купить кожаный диван в тюмени;Диваны кожаные;коммерческий;да;35;11;41;;20;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+expand+keysso
пискарев мебель белоруссии;Белорусская мебель;общий;;38;11;40;;1;http://pinskdrev.ru/;arsenkin_sem+expand
белорусская мебель в таганроге;Белорусская мебель;общий;;30;11;31;;11;http://pinskdrev.ru/catalog/myagkaya-mebel;arsenkin_sem+expand
мебельная фабрика пинскдрев каталог мебели с ценами;Бренд;бренд;;12;11;12;;1;/catalog/default/index;arsenkin_sem+expand+keysso
расстояние от варочной панели до духового шкафа;Шкафы;общий;;47;11;;;23;/uhod-i-ekspluatatsiya/kuhni--uhod-i-ekspluatatsiya--poleznyie-sovetyi/rekomendatsii-po-proektirovaniyu-kuhni;keysso
спички на заказ;Прочее;общий;;80;11;;;43;/spichki--derevoobrabotka/kupit-spichki-optom-ot-proizvoditelya-pinskdrev;arsenkin_sem+keysso
пинскдрев время работы;Бренд;бренд;;201;11;;;3;/shops;keysso
пинскдрев адреса магазинов;Бренд;бренд;;426;11;;;1;/shops;arsenkin_sem+keysso
мебель интерьер орехово зуево;Мебель общ.;инфо;;40;11;;;26;/news/otkryitie-novogo-firmennogo-salona-belorusskoy-mebeli-pinskdrev-v-orehovo-zuevo-mts-interer;arsenkin_sem+keysso
купить тахту в кирове;Тахты и кушетки;коммерческий;да;96;11;;;31;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
тахта купить в пензе;Тахты и кушетки;коммерческий;да;52;11;;;28;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
кресло марсель купить;Кресла;коммерческий;;52;11;;;39;/catalog/myagkaya-mebel/kresla/kreslo-marsel-12;arsenkin_sem+keysso
кресло клик кляк фото и цены;Кресла;коммерческий;;19;11;;;17;/catalog/myagkaya-mebel/kresla/f/transformation--klik_kljak;arsenkin_sem+keysso
кресло нераскладное;Кресла;общий;;156;11;;;13;/catalog/myagkaya-mebel/kresla/f/po_nalichiyu_transformatsii--ne_raskladnoy;arsenkin_sem+keysso
тахта в стиле прованс;Тахты и кушетки;общий;;26;11;;;44;/catalog/myagkaya-mebel/divanyi/f/stil--provans;arsenkin_sem+keysso
атаманка диван купить;Диваны;коммерческий;;168;11;;;8;/catalog/myagkaya-mebel/divanyi/f/nalichie_ottomanki--est;arsenkin_sem+keysso
ирис 1 21 4;Прочее;общий;;54;11;;;40;/catalog/myagkaya-mebel/divanyi/4-h-mestnyiy-divan-iris-1-4m;arsenkin_sem+keysso
диван рафаэль купить;Диваны;коммерческий;;100;11;;;34;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-rafael-1;arsenkin_sem+keysso
мелисса фабрика мягкой мебели официальный сайт;Фабрика/производитель;коммерческий;;11;11;;;16;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-melissa;arsenkin_sem+keysso
диван прямой пинскдрев инфинити;Бренд;бренд;;12;11;;;1;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-infiniti-lyuks-3m---spetspredlojenie;arsenkin_sem+keysso
угловой диван 240 на 240;Диваны угловые;общий;;39;11;;;32;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
угловой диван на кухню со спальным местом купить в беларуси;Диваны угловые;коммерческий;;15;11;;;22;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
пинскдрев диваны угловые с ценами фото;Бренд;бренд;;26;11;;;1;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
прямой диван с подушками;Диваны;общий;;233;11;;;21;/catalog/myagkaya-mebel/divanyi-pryamyie/f/podushki_v_komplekte--est;arsenkin_sem+keysso
коллекция мебели верди;Мебель общ.;общий;;32;11;;;7;/catalog/mebel-pod-zakaz/kollektsiya-verdi-klassik;arsenkin_sem+keysso
пинскдрев милана шкаф;Бренд;бренд;;49;11;;;1;/catalog/mebel-pod-zakaz/kollektsiya-milana;arsenkin_sem+keysso
матрас tencel;Матрасы;общий;;130;11;;;7;/catalog/matrasyi/matrasyi-tensel;arsenkin_sem+keysso
кухня капучино глянец;Кухни;общий;;202;11;;;30;/catalog/kuhni/kuhni-pod-zakaz/kuhnya-toledo/mdfpvhscm008g3morskayavolnakapuchinoglyanets;arsenkin_sem+keysso
кухонные фасады из массива дерева купить;Кухни;коммерческий;;38;11;;;15;/catalog/kuhni/fasadyi-iz-massiva;arsenkin_sem+keysso
стул пинскдрев купить;Бренд;бренд;;120;11;;;1;/catalog/korpusnaya-mebel/stulya;arsenkin_sem+keysso
стол из дуба цена;Столы и стулья;коммерческий;;105;11;;;16;/catalog/korpusnaya-mebel/stolyi/f/type--stol-obedennyiy/material--massiv_duba;arsenkin_sem+keysso
каталог журнальных столиков;Столы и стулья;коммерческий;;400;11;;;34;/catalog/korpusnaya-mebel/stolyi/f/type--stol-jurnalnyiy;arsenkin_sem+keysso
овальный деревянный стол для кухни;Кухни;общий;;25;11;;;33;/catalog/korpusnaya-mebel/stolyi/f/forma--ovalnaya;arsenkin_sem+keysso
шкаф лотос;Шкафы;общий;;444;11;;;9;/catalog/korpusnaya-mebel/shkafyi/shkaf-lotos-bm-2191;arsenkin_sem+keysso
шкаф lima;Шкафы;общий;;146;11;;;29;/catalog/korpusnaya-mebel/shkafyi/shkaf-kombinirovannyiy-lima-p7-052-3-14;arsenkin_sem+keysso
шкаф луна пинскдрев;Бренд;бренд;;19;11;;;2;/catalog/korpusnaya-mebel/shkafyi/shkaf-kombinirovannyiy-luna-p049-103/ldspsosnarandersoniks;arsenkin_sem+keysso
шкаф для одежды и документов комбинированный;Шкафы;общий;;29;11;;;29;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-kombinirovannyiy;arsenkin_sem+keysso
